[BrainBitSignalData(PackNum=61, Marker=0, O1=0.045121045228047586, O2=0.21308232601387597, T3=0.054062322676012686, T4=0.16309906301409055), BrainBitSignalData(PackNum=61, Marker=0, O1=0.049483918651503235, O2=0.20058231409293564, T3=0.06656195312686265, T4=0.15059905109315022)]
[BrainBitSignalData(PackNum=62, Marker=0, O1=-0.033440431061202106, O2=0.3854534010442744, T3=-0.01812173664258637, T4=0.33749459981403335), BrainBitSignalData(PackNum=62, Marker=0, O1=-0.045940442982142435, O2=0.39795303149512434, T3=-0.03062174856352669, T4=0.3499942302648833)]
[BrainBitSignalData(PackNum=63, Marker=0, O1=0.031854278425482205, O2=0.26583544333977066, T3=0.03793185990510932, T4=0.20790730276804234), BrainBitSignalData(PackNum=63, Marker=0, O1=0.044353908876332164, O2=0.2533354314188303, T3=0.05043149035595928, T4=0.195407290847102)]
[BrainBitSignalData(PackNum=64, Marker=0, O1=-0.022350332594235033, O2=0.33771432658608114, T3=-0.0018024461769544382, T4=0.2904574303221038), BrainBitSignalData(PackNum=64, Marker=0, O1=-0.03485034451517536, O2=0.3502139570369311, T3=-0.014302458097894762, T4=0.30295706077295376)]
[BrainBitSignalData(PackNum=65, Marker=0, O1=0.016798035429034644, O2=0.3176406074911189, T3=0.020569630212431158, T4=0.2542974989867201), BrainBitSignalData(PackNum=65, Marker=0, O1=0.029297665879884607, O2=0.3051405955701786, T3=0.03306926066328112, T4=0.24179748706577975)]
[BrainBitSignalData(PackNum=66, Marker=0, O1=-0.007723243449443292, O2=0.28447750518560905, T3=0.01658555658870372, T4=0.24085029683141407), BrainBitSignalData(PackNum=66, Marker=0, O1=-0.020223255370383615, O2=0.296977135636459, T3=0.004085544667763393, T4=0.253349927282264)]
[BrainBitSignalData(PackNum=67, Marker=0, O1=0.001128769997377393, O2=0.3653258946665713, T3=0.0030532866032472643, T4=0.29982671721145365), BrainBitSignalData(PackNum=67, Marker=0, O1=0.013628400448227357, O2=0.352825882745631, T3=0.015552917054097228, T4=0.2873267052905133)]
[BrainBitSignalData(PackNum=68, Marker=0, O1=0.007780463962997401, O2=0.2289724626278521, T3=0.034745058770235794, T4=0.1914087213599409), BrainBitSignalData(PackNum=68, Marker=0, O1=-0.004719547957942923, O2=0.24147209307870204, T3=0.02224504684929547, T4=0.20390835181079084)]
[BrainBitSignalData(PackNum=69, Marker=0, O1=-0.013967908828648404, O2=0.4, T3=-0.013351453162625468, T4=0.34189294995589253), BrainBitSignalData(PackNum=69, Marker=0, O1=-0.0014682783777984407, O2=0.38749998807905967, T3=-0.0008518227117755049, T4=0.32939293803495223)]
[BrainBitSignalData(PackNum=70, Marker=0, O1=0.02288324631046897, O2=0.17525994802470019, T3=0.05128064277710226, T4=0.14469885320554085), BrainBitSignalData(PackNum=70, Marker=0, O1=0.010383234389528647, O2=0.18775957847555017, T3=0.038780630856161936, T4=0.15719848365639083)]
